gamename,year,month,avg,gain,peak,avg_peak_perc
Counter-Strike: Global Offensive,2017,March ,386908.72,-15476.99,742356,52.12%
Counter-Strike: Global Offensive,2017,February ,402385.71,9276.18,744468,54.05%
Counter-Strike: Global Offensive,2017,January ,393109.53,50913.83,814616,48.26%
Counter-Strike: Global Offensive,2016,December ,342195.7,13150.44,662460,51.66%
Counter-Strike: Global Offensive,2016,November ,329045.26,-4031.2,627124,52.47%
Counter-Strike: Global Offensive,2016,October ,333076.46,10550.57,661985,50.31%
Counter-Strike: Global Offensive,2016,September ,322525.89,-24703.36,638360,50.52%
Counter-Strike: Global Offensive,2016,August ,347229.25,-6548.31,599095,57.96%
Counter-Strike: Global Offensive,2016,July ,353777.56,19466.5,636056,55.62%
Counter-Strike: Global Offensive,2016,June ,334311.06,-4427.34,579110,57.73%
Counter-Strike: Global Offensive,2016,May ,338738.39,-37057.47,668612,50.66%
Counter-Strike: Global Offensive,2016,April ,375795.87,-3631.08,850485,44.19%
Counter-Strike: Global Offensive,2016,March ,379426.95,3141.92,737599,51.44%
Counter-Strike: Global Offensive,2016,February ,376285.02,10913.93,738969,50.92%
Counter-Strike: Global Offensive,2016,January ,365371.09,-12076.02,667432,54.74%
Counter-Strike: Global Offensive,2015,December ,377447.11,16521.23,823694,45.82%
Counter-Strike: Global Offensive,2015,November ,360925.88,-1840.21,786707,45.88%
Counter-Strike: Global Offensive,2015,October ,362766.09,6860.76,732093,49.55%
Counter-Strike: Global Offensive,2015,September ,355905.33,-1629.91,725939,49.03%
Counter-Strike: Global Offensive,2015,August ,357535.24,28002.87,819902,43.61%
Counter-Strike: Global Offensive,2015,July ,329532.38,-14623.63,541181,60.89%
Counter-Strike: Global Offensive,2015,June ,344156.01,26869.72,610401,56.38%
Counter-Strike: Global Offensive,2015,May ,317286.29,25537.55,677701,46.82%
Counter-Strike: Global Offensive,2015,April ,291748.74,23752.43,568556,51.31%
Counter-Strike: Global Offensive,2015,March ,267996.31,28061.68,595439,45.01%
Counter-Strike: Global Offensive,2015,February ,239934.64,5863.96,455508,52.67%
Counter-Strike: Global Offensive,2015,January ,234070.68,50481.18,443188,52.82%
Counter-Strike: Global Offensive,2014,December ,183589.5,36260.43,367634,49.94%
Counter-Strike: Global Offensive,2014,November ,147329.07,13791.37,348018,42.33%
Counter-Strike: Global Offensive,2014,October ,133537.7,2503.02,260613,51.24%
Counter-Strike: Global Offensive,2014,September ,131034.68,-2151.11,242494,54.04%
Counter-Strike: Global Offensive,2014,August ,133185.79,27047.79,277192,48.05%
Counter-Strike: Global Offensive,2014,July ,106138,21974.38,193613,54.82%
Counter-Strike: Global Offensive,2014,June ,84163.62,-761.4,164134,51.28%
Counter-Strike: Global Offensive,2014,May ,84925.02,6044.49,170137,49.92%
Counter-Strike: Global Offensive,2014,April ,78880.53,8737.2,142526,55.34%
Counter-Strike: Global Offensive,2014,March ,70143.33,10351.96,164495,42.64%
Counter-Strike: Global Offensive,2014,February ,59791.37,4164.01,119764,49.92%
Counter-Strike: Global Offensive,2014,January ,55627.35,8839.08,102084,54.49%
Counter-Strike: Global Offensive,2013,December ,46788.27,16897.75,96298,48.59%
Counter-Strike: Global Offensive,2013,November ,29890.52,1988.38,92279,32.39%
Counter-Strike: Global Offensive,2013,October ,27902.14,223.23,53263,52.39%
Counter-Strike: Global Offensive,2013,September ,27678.91,1717.06,52052,53.18%
Counter-Strike: Global Offensive,2013,August ,25961.85,5469.33,50511,51.40%
Counter-Strike: Global Offensive,2013,July ,20492.52,2372.68,42149,48.62%
Counter-Strike: Global Offensive,2013,June ,18119.84,-590.5,33700,53.77%
Counter-Strike: Global Offensive,2013,May ,18710.34,2704.34,53379,35.05%
Counter-Strike: Global Offensive,2013,April ,16006,46.11,31966,50.07%
Counter-Strike: Global Offensive,2013,March ,15959.89,-1412.84,32166,49.62%
Counter-Strike: Global Offensive,2013,February ,17372.73,1208.51,35238,49.30%
Counter-Strike: Global Offensive,2013,January ,16164.22,2084.83,31359,51.55%
Counter-Strike: Global Offensive,2012,December ,14079.39,-54.71,27553,51.10%
Counter-Strike: Global Offensive,2012,November ,14134.1,3394.62,50533,27.97%
Counter-Strike: Global Offensive,2012,October ,10739.48,-5261.27,20850,51.51%
Counter-Strike: Global Offensive,2012,September ,16000.75,525.36,36057,44.38%
Counter-Strike: Global Offensive,2012,August ,15475.39,14542.81,52261,29.61%
Counter-Strike: Global Offensive,2012,July ,932.57,NA,1642,56.79%
Dota 2,2021,February ,404832.13,-27839.52,651615,62.13%
Dota 2,2021,January ,432671.65,10119.33,694613,62.29%
Dota 2,2020,December ,422552.32,-3352.52,697833,60.55%
Dota 2,2020,November ,425904.83,19543.48,711824,59.83%
Dota 2,2020,October ,406361.36,-2248.43,723280,56.18%
Dota 2,2020,September ,408609.78,-21107.34,670547,60.94%
Dota 2,2020,August ,429717.12,-20496.87,666138,64.51%
Dota 2,2020,July ,450213.99,-6970.43,712610,63.18%
Dota 2,2020,June ,457184.42,-27004.6,733294,62.35%
Dota 2,2020,May ,484189.02,-9111.25,793135,61.05%
Dota 2,2020,April ,493300.27,56152.91,801121,61.58%
Dota 2,2020,March ,437147.36,31168.71,743933,58.76%
Dota 2,2020,February ,405978.65,27053.22,663812,61.16%
Dota 2,2020,January ,378925.43,-5254.32,616415,61.47%
Dota 2,2019,December ,384179.76,-17752.05,685165,56.07%
Dota 2,2019,November ,401931.8,13575.94,708517,56.73%
Dota 2,2019,October ,388355.86,-33615.38,739924,52.49%
Dota 2,2019,September ,421971.24,-45177.05,753996,55.96%
Dota 2,2019,August ,467148.29,2360.67,826690,56.51%
Dota 2,2019,July ,464787.61,-42740.82,779160,59.65%
Dota 2,2019,June ,507528.44,-40994.74,865374,58.65%
Dota 2,2019,May ,548523.18,28304.2,997341,55.00%
Dota 2,2019,April ,520218.98,-66286.87,971545,53.55%
Dota 2,2019,March ,586505.85,21596.18,1033925,56.73%
Dota 2,2019,February ,564909.67,89162.67,964921,58.54%
Dota 2,2019,January ,475747,36379.17,874888,54.38%
Dota 2,2018,December ,439367.83,-21705.66,765422,57.40%
Dota 2,2018,November ,461073.48,29899.57,826053,55.82%
Dota 2,2018,October ,431173.91,-35296.83,739643,58.29%
Dota 2,2018,September ,466470.74,-9630.34,826166,56.46%
Dota 2,2018,August ,476101.08,34386.73,829281,57.41%
Dota 2,2018,July ,441714.35,-32185.65,701582,62.96%
Dota 2,2018,June ,473900,-425.87,796886,59.47%
Dota 2,2018,May ,474325.87,43984.93,844713,56.15%
Dota 2,2018,April ,430340.94,-6921.4,733214,58.69%
Dota 2,2018,March ,437262.35,-1585.37,773897,56.50%
Dota 2,2018,February ,438847.72,-48014.2,779299,56.31%
Dota 2,2018,January ,486861.91,-26212.42,778627,62.53%
Dota 2,2017,December ,513074.33,25693.09,864939,59.32%
Dota 2,2017,November ,487381.24,21254.45,861173,56.60%
Dota 2,2017,October ,466126.79,-25323.37,832550,55.99%
Dota 2,2017,September ,491450.16,-65046.14,829555,59.24%
Dota 2,2017,August ,556496.3,58051.92,876395,63.50%
Dota 2,2017,July ,498444.38,-56844.7,824297,60.47%
Dota 2,2017,June ,555289.07,-12237.35,923122,60.15%
Dota 2,2017,May ,567526.42,27248.39,972876,58.33%
Dota 2,2017,April ,540278.03,-8157.41,921318,58.64%
Dota 2,2017,March ,548435.44,-43131.81,956232,57.35%
Dota 2,2017,February ,591567.25,11285.78,1040877,56.83%
Dota 2,2017,January ,580281.47,-13639.13,1007451,57.60%
Dota 2,2016,December ,593920.6,9669.27,1014671,58.53%
Dota 2,2016,November ,584251.33,-55103.82,1007270,58.00%
Dota 2,2016,October ,639355.14,16771.24,1141191,56.03%
Dota 2,2016,September ,622583.9,-43429.15,1064377,58.49%
Dota 2,2016,August ,666013.05,27800.4,1117519,59.60%
Dota 2,2016,July ,638212.65,-2014.33,1084198,58.87%
Dota 2,2016,June ,640226.98,16428.3,1095994,58.42%
Dota 2,2016,May ,623798.67,-33145.7,1075307,58.01%
Dota 2,2016,April ,656944.37,-15610.52,1164041,56.44%
Dota 2,2016,March ,672554.89,-36623.36,1291328,52.08%
Dota 2,2016,February ,709178.26,97003.48,1248394,56.81%
Dota 2,2016,January ,612174.78,38830.53,1067949,57.32%
Dota 2,2015,December ,573344.25,33807.92,999452,57.37%
Dota 2,2015,November ,539536.33,17594.62,943635,57.18%
Dota 2,2015,October ,521941.72,13784.86,917306,56.90%
Dota 2,2015,September ,508156.85,-98787.12,888728,57.18%
Dota 2,2015,August ,606943.98,51952.97,933942,64.99%
Dota 2,2015,July ,554991.01,-13457.32,877264,63.26%
Dota 2,2015,June ,568448.32,-11900.1,913997,62.19%
Dota 2,2015,May ,580348.42,54286.7,967674,59.97%
Dota 2,2015,April ,526061.73,-45651.42,929677,56.59%
Dota 2,2015,March ,571713.15,-57257.26,1213940,47.10%
Dota 2,2015,February ,628970.41,70466.07,1262612,49.82%
Dota 2,2015,January ,558504.33,34564.01,961737,58.07%
Dota 2,2014,December ,523940.32,-4849.48,936583,55.94%
Dota 2,2014,November ,528789.8,33096.77,963810,54.86%
Dota 2,2014,October ,495693.04,17694.59,880655,56.29%
Dota 2,2014,September ,477998.45,-12885.44,864261,55.31%
Dota 2,2014,August ,490883.89,-46134.77,774319,63.40%
Dota 2,2014,July ,537018.66,23235.6,874975,61.38%
Dota 2,2014,June ,513783.06,31395.81,833145,61.67%
Dota 2,2014,May ,482387.24,60677.03,843024,57.22%
Dota 2,2014,April ,421710.21,11954.66,734998,57.38%
Dota 2,2014,March ,409755.56,-11358.65,698197,58.69%
Dota 2,2014,February ,421114.2,27253.88,738682,57.01%
Dota 2,2014,January ,393860.32,27253.83,673496,58.48%
Dota 2,2013,December ,366606.49,18360.12,685503,53.48%
Dota 2,2013,November ,348246.37,18568.73,702792,49.55%
Dota 2,2013,October ,329677.64,17252.88,581615,56.68%
Dota 2,2013,September ,312424.76,-18295.3,566715,55.13%
Dota 2,2013,August ,330720.07,92919.98,520532,63.54%
Dota 2,2013,July ,237800.08,27575.26,422617,56.27%
Dota 2,2013,June ,210224.82,15860.98,326160,64.45%
Dota 2,2013,May ,194363.84,19528.11,325815,59.65%
Dota 2,2013,April ,174835.73,-6043.17,299667,58.34%
Dota 2,2013,March ,180878.9,13905.93,325598,55.55%
Dota 2,2013,February ,166972.97,19224.82,283870,58.82%
Dota 2,2013,January ,147748.14,25823.72,260989,56.61%
Dota 2,2012,December ,121924.42,20846.99,213521,57.10%
Dota 2,2012,November ,101077.43,25111.99,169631,59.59%
Dota 2,2012,October ,75965.44,14097.77,171860,44.20%
Dota 2,2012,September ,61867.68,6099.07,118724,52.11%
Dota 2,2012,August ,55768.61,3047.56,108689,51.31%
Dota 2,2012,July ,52721.05,NA,75041,70.26%
PLAYERUNKNOWN'S BATTLEGROUNDS,2021,February ,198957.52,-2289.67,447390,44.47%
PLAYERUNKNOWN'S BATTLEGROUNDS,2021,January ,201247.19,12013.61,451998,44.52%
PLAYERUNKNOWN'S BATTLEGROUNDS,2020,December ,189233.58,9713.32,444680,42.56%
PLAYERUNKNOWN'S BATTLEGROUNDS,2020,November ,179520.26,16934.62,438919,40.90%
PLAYERUNKNOWN'S BATTLEGROUNDS,2020,October ,162585.64,-6508.07,381079,42.66%
PLAYERUNKNOWN'S BATTLEGROUNDS,2020,September ,169093.71,-23398.9,403693,41.89%
PLAYERUNKNOWN'S BATTLEGROUNDS,2020,August ,192492.61,-19207.7,443390,43.41%
PLAYERUNKNOWN'S BATTLEGROUNDS,2020,July ,211700.3,-18629.44,469568,45.08%
PLAYERUNKNOWN'S BATTLEGROUNDS,2020,June ,230329.74,-12929.04,546359,42.16%
PLAYERUNKNOWN'S BATTLEGROUNDS,2020,May ,243258.78,411.51,553121,43.98%
PLAYERUNKNOWN'S BATTLEGROUNDS,2020,April ,242847.28,14380.11,913075,26.60%
PLAYERUNKNOWN'S BATTLEGROUNDS,2020,March ,228467.17,-29117.16,562028,40.65%
PLAYERUNKNOWN'S BATTLEGROUNDS,2020,February ,257584.32,-17778.72,606689,42.46%
PLAYERUNKNOWN'S BATTLEGROUNDS,2020,January ,275363.04,-33082.41,645414,42.66%
PLAYERUNKNOWN'S BATTLEGROUNDS,2019,December ,308445.45,2786.06,686239,44.95%
PLAYERUNKNOWN'S BATTLEGROUNDS,2019,November ,305659.39,18525.98,695920,43.92%
PLAYERUNKNOWN'S BATTLEGROUNDS,2019,October ,287133.41,-24310.9,637870,45.01%
PLAYERUNKNOWN'S BATTLEGROUNDS,2019,September ,311444.31,-47086.65,660864,47.13%
PLAYERUNKNOWN'S BATTLEGROUNDS,2019,August ,358530.96,5642.08,750941,47.74%
PLAYERUNKNOWN'S BATTLEGROUNDS,2019,July ,352888.88,-10194.48,745224,47.35%
PLAYERUNKNOWN'S BATTLEGROUNDS,2019,June ,363083.37,-22757.23,745960,48.67%
PLAYERUNKNOWN'S BATTLEGROUNDS,2019,May ,385840.59,-4260.3,817595,47.19%
PLAYERUNKNOWN'S BATTLEGROUNDS,2019,April ,390100.9,-27711.61,886255,44.02%
PLAYERUNKNOWN'S BATTLEGROUNDS,2019,March ,417812.51,-20146.59,931407,44.86%
PLAYERUNKNOWN'S BATTLEGROUNDS,2019,February ,437959.1,-59844.15,931754,47.00%
PLAYERUNKNOWN'S BATTLEGROUNDS,2019,January ,497803.25,24261.99,1084606,45.90%
PLAYERUNKNOWN'S BATTLEGROUNDS,2018,December ,473541.26,55381.78,1109766,42.67%
PLAYERUNKNOWN'S BATTLEGROUNDS,2018,November ,418159.48,-50982.25,895650,46.69%
PLAYERUNKNOWN'S BATTLEGROUNDS,2018,October ,469141.74,-73465.31,1048662,44.74%
PLAYERUNKNOWN'S BATTLEGROUNDS,2018,September ,542607.05,-76713.44,1125229,48.22%
PLAYERUNKNOWN'S BATTLEGROUNDS,2018,August ,619320.48,-69299.93,1260894,49.12%
PLAYERUNKNOWN'S BATTLEGROUNDS,2018,July ,688620.42,-112047.81,1350463,50.99%
PLAYERUNKNOWN'S BATTLEGROUNDS,2018,June ,800668.23,-75512.41,1750216,45.75%
PLAYERUNKNOWN'S BATTLEGROUNDS,2018,May ,876180.64,-231001.16,2175704,40.27%
PLAYERUNKNOWN'S BATTLEGROUNDS,2018,April ,1107181.8,-188226.79,2456361,45.07%
PLAYERUNKNOWN'S BATTLEGROUNDS,2018,March ,1295408.59,-95606.71,2799269,46.28%
PLAYERUNKNOWN'S BATTLEGROUNDS,2018,February ,1391015.3,-193871.48,2934761,47.40%
PLAYERUNKNOWN'S BATTLEGROUNDS,2018,January ,1584886.77,148728.26,3236027,48.98%
PLAYERUNKNOWN'S BATTLEGROUNDS,2017,December ,1436158.51,101988.42,3080769,46.62%
PLAYERUNKNOWN'S BATTLEGROUNDS,2017,November ,1334170.09,247531.23,2915723,45.76%
PLAYERUNKNOWN'S BATTLEGROUNDS,2017,October ,1086638.87,426446.12,2390946,45.45%
PLAYERUNKNOWN'S BATTLEGROUNDS,2017,September ,660192.74,270665.33,1550463,42.58%
PLAYERUNKNOWN'S BATTLEGROUNDS,2017,August ,389527.42,159825.72,874171,44.56%
PLAYERUNKNOWN'S BATTLEGROUNDS,2017,July ,229701.7,89799.46,481291,47.73%
PLAYERUNKNOWN'S BATTLEGROUNDS,2017,June ,139902.24,32460.64,267194,52.36%
PLAYERUNKNOWN'S BATTLEGROUNDS,2017,May ,107441.6,37646.63,189456,56.71%
PLAYERUNKNOWN'S BATTLEGROUNDS,2017,April ,69794.98,52243.84,140104,49.82%
PLAYERUNKNOWN'S BATTLEGROUNDS,2017,March ,17551.14,NA,67846,25.87%
Apex Legends,2021,February ,120982.64,49215.9,196799,61.48%
Apex Legends,2021,January ,71766.74,7296.99,129928,55.24%
Apex Legends,2020,December ,64469.75,-10487.5,112076,57.52%
Apex Legends,2020,November ,74957.26,NA,117193,63.96%
Rust,2021,February ,117742.27,-24374.98,224276,52.50%
Rust,2021,January ,142117.25,80945.6,244394,58.15%
Rust,2020,December ,61171.65,5763.61,97445,62.78%
Rust,2020,November ,55408.03,6857.23,101365,54.66%
Rust,2020,October ,48550.8,2120.27,80422,60.37%
Rust,2020,September ,46430.53,-6857.11,76611,60.61%
Rust,2020,August ,53287.65,-4951.07,89147,59.78%
Rust,2020,July ,58238.72,7821,97741,59.58%
Rust,2020,June ,50417.72,-6926.93,93513,53.92%
Rust,2020,May ,57344.65,-10159.4,102051,56.19%
Rust,2020,April ,67504.05,9062.03,125415,53.82%
Rust,2020,March ,58442.03,8366.82,102296,57.13%
Rust,2020,February ,50075.2,-1545.19,92016,54.42%
Rust,2020,January ,51620.39,2525.55,97340,53.03%
Rust,2019,December ,49094.84,5586.88,81928,59.92%
Rust,2019,November ,43507.96,-3196.42,74292,58.56%
Rust,2019,October ,46704.38,-2931.73,82827,56.39%
Rust,2019,September ,49636.12,-8895.12,80293,61.82%
Rust,2019,August ,58531.24,-3728.72,88929,65.82%
Rust,2019,July ,62259.96,17127.39,93595,66.52%
Rust,2019,June ,45132.57,9351.9,81658,55.27%
Rust,2019,May ,35780.66,-2420.12,67338,53.14%
Rust,2019,April ,38200.78,-2524.51,72544,52.66%
Rust,2019,March ,40725.29,-1706.13,77896,52.28%
Rust,2019,February ,42431.42,-3769.88,77622,54.66%
Rust,2019,January ,46201.3,3579.02,85208,54.22%
Rust,2018,December ,42622.28,4915.93,70775,60.22%
Rust,2018,November ,37706.36,5886.14,70969,53.13%
Rust,2018,October ,31820.22,4501.02,58564,54.33%
Rust,2018,September ,27319.2,-4169.08,48430,56.41%
Rust,2018,August ,31488.28,-5170.92,53885,58.44%
Rust,2018,July ,36659.19,6350.3,65952,55.58%
Rust,2018,June ,30308.9,6415.11,54779,55.33%
Rust,2018,May ,23893.78,-2153.26,46328,51.58%
Rust,2018,April ,26047.04,-3027.77,51233,50.84%
Rust,2018,March ,29074.81,-4432.46,57873,50.24%
Rust,2018,February ,33507.28,-1161.53,68204,49.13%
Rust,2018,January ,34668.81,1694.81,67410,51.43%
Rust,2017,December ,32974,4826.77,60373,54.62%
Rust,2017,November ,28147.23,2386.73,57223,49.19%
Rust,2017,October ,25760.5,4165.09,49984,51.54%
Rust,2017,September ,21595.41,-3962.61,40577,53.22%
Rust,2017,August ,25558.02,-4005.08,43117,59.28%
Rust,2017,July ,29563.1,277.67,53425,55.34%
Rust,2017,June ,29285.43,3905.15,48228,60.72%
Rust,2017,May ,25380.27,-3208.53,46948,54.06%
Rust,2017,April ,28588.81,-3850.18,53621,53.32%
Rust,2017,March ,32438.98,-3964.56,66194,49.01%
Rust,2017,February ,36403.55,2403.64,68103,53.45%
Rust,2017,January ,33999.91,5024.99,63843,53.26%
Rust,2016,December ,28974.92,6095.72,49147,58.96%
Rust,2016,November ,22879.2,-1526.98,47571,48.09%
Rust,2016,October ,24406.17,-1863.62,48435,50.39%
Rust,2016,September ,26269.79,-4162.74,50680,51.83%
Rust,2016,August ,30432.53,-517.22,50364,60.43%
Rust,2016,July ,30949.75,5588.78,64555,47.94%
Rust,2016,June ,25360.97,-136.91,45791,55.38%
Rust,2016,May ,25497.88,-108.06,47100,54.14%
Rust,2016,April ,25605.94,-1661.66,49920,51.29%
Rust,2016,March ,27267.6,-5126.97,55147,49.45%
Rust,2016,February ,32394.57,4747.51,61260,52.88%
Rust,2016,January ,27647.06,9173,50628,54.61%
Rust,2015,December ,18474.06,5412.43,38110,48.48%
Rust,2015,November ,13061.63,-44.48,26697,48.93%
Rust,2015,October ,13106.11,695.25,24201,54.16%
Rust,2015,September ,12410.86,-2459.21,24075,51.55%
Rust,2015,August ,14870.06,1052.36,25352,58.65%
Rust,2015,July ,13817.71,82.06,22622,61.08%
Rust,2015,June ,13735.65,-84.17,27177,50.54%
Rust,2015,May ,13819.82,5683.08,25625,53.93%
Rust,2015,April ,8136.74,-133.76,16636,48.91%
Rust,2015,March ,8270.49,-1102.2,16341,50.61%
Rust,2015,February ,9372.69,-1218.37,20267,46.25%
Rust,2015,January ,10591.06,4439.66,22303,47.49%
Rust,2014,December ,6151.4,767.28,11826,52.02%
Rust,2014,November ,5384.12,-988.43,12062,44.64%
Rust,2014,October ,6372.55,25.86,12294,51.83%
Rust,2014,September ,6346.7,-2393.85,11040,57.49%
Rust,2014,August ,8740.55,-1391.93,12764,68.48%
Rust,2014,July ,10132.47,-1805.76,15027,67.43%
Rust,2014,June ,11938.23,-1212.72,18081,66.03%
Rust,2014,May ,13150.96,-4508.02,24306,54.11%
Rust,2014,April ,17658.98,-7215.16,31321,56.38%
Rust,2014,March ,24874.13,-9879.31,48870,50.90%
Rust,2014,February ,34753.45,9878.63,58973,58.93%
Rust,2014,January ,24874.82,15669.05,51872,47.95%
Rust,2013,December ,9205.77,NA,22571,40.79%
Team Fortress 2,2021,February ,101230.91,18082.74,133620,75.76%
Team Fortress 2,2021,January ,83148.17,724.66,111102,74.84%
Team Fortress 2,2020,December ,82423.51,12118.72,146887,56.11%
Team Fortress 2,2020,November ,70304.79,-3289.29,101610,69.19%
Team Fortress 2,2020,October ,73594.08,4727.84,130548,56.37%
Team Fortress 2,2020,September ,68866.24,1922.66,86576,79.54%
Team Fortress 2,2020,August ,66943.58,-2358.31,96577,69.32%
Team Fortress 2,2020,July ,69301.89,4131.99,89648,77.30%
Team Fortress 2,2020,June ,65169.91,-1223.89,79946,81.52%
Team Fortress 2,2020,May ,66393.8,-793.33,85744,77.43%
Team Fortress 2,2020,April ,67187.12,-791.81,88124,76.24%
Team Fortress 2,2020,March ,67978.93,7869.89,85149,79.84%
Team Fortress 2,2020,February ,60109.05,511.17,78393,76.68%
Team Fortress 2,2020,January ,59597.88,-2098.02,76738,77.66%
Team Fortress 2,2019,December ,61695.9,11380,103481,59.62%
Team Fortress 2,2019,November ,50315.89,-1678.04,69869,72.01%
Team Fortress 2,2019,October ,51993.93,3661.04,73467,70.77%
Team Fortress 2,2019,September ,48332.88,2788.01,64640,74.77%
Team Fortress 2,2019,August ,45544.88,-3994.12,64518,70.59%
Team Fortress 2,2019,July ,49538.99,6536.45,93245,53.13%
Team Fortress 2,2019,June ,43002.54,3925.62,57130,75.27%
Team Fortress 2,2019,May ,39076.92,-3428.13,54127,72.19%
Team Fortress 2,2019,April ,42505.05,-3434.96,60330,70.45%
Team Fortress 2,2019,March ,45940.01,-1767.58,63379,72.48%
Team Fortress 2,2019,February ,47707.59,-2803.7,65290,73.07%
Team Fortress 2,2019,January ,50511.29,-81.11,66649,75.79%
Team Fortress 2,2018,December ,50592.4,-2491.76,116141,43.56%
Team Fortress 2,2018,November ,53084.17,4317.94,93560,56.74%
Team Fortress 2,2018,October ,48766.22,7764.1,97329,50.10%
Team Fortress 2,2018,September ,41002.12,-2630.22,58152,70.51%
Team Fortress 2,2018,August ,43632.35,-2517.02,57772,75.53%
Team Fortress 2,2018,July ,46149.36,1941.94,59658,77.36%
Team Fortress 2,2018,June ,44207.43,5360.4,57752,76.55%
Team Fortress 2,2018,May ,38847.02,-333.43,56049,69.31%
Team Fortress 2,2018,April ,39180.46,2398.58,58292,67.21%
Team Fortress 2,2018,March ,36781.88,-933.23,57366,64.12%
Team Fortress 2,2018,February ,37715.11,-15716.99,69198,54.50%
Team Fortress 2,2018,January ,53432.1,1615.99,72845,73.35%
Team Fortress 2,2017,December ,51816.11,-453.98,71122,72.86%
Team Fortress 2,2017,November ,52270.09,-2693.2,84022,62.21%
Team Fortress 2,2017,October ,54963.29,3978.11,97248,56.52%
Team Fortress 2,2017,September ,50985.18,-2007.3,73411,69.45%
Team Fortress 2,2017,August ,52992.48,1131.07,69172,76.61%
Team Fortress 2,2017,July ,51861.41,-546.65,66951,77.46%
Team Fortress 2,2017,June ,52408.06,2282.05,69895,74.98%
Team Fortress 2,2017,May ,50126.01,-1607.51,73188,68.49%
Team Fortress 2,2017,April ,51733.52,2250.33,72616,71.24%
Team Fortress 2,2017,March ,49483.19,-2304.17,74656,66.28%
Team Fortress 2,2017,February ,51787.36,-648.82,77381,66.93%
